video,window_id,window_start_sec,window_end_sec,physical_max_score,physical_collision_frames,label
normal03.mp4,39,24.399,25.651,0,0,0
normal03.mp4,40,25.025,26.276,0,0,0
normal03.mp4,41,25.651,26.902,0,0,0
normal03.mp4,42,26.276,27.527,0,0,0
normal04.mp4,0,0.0,1.2,0,0,0
normal04.mp4,1,0.6,1.8,0,0,0
normal04.mp4,2,1.2,2.4,0,0,0
normal04.mp4,3,1.8,3.0,0,0,0
normal04.mp4,4,2.4,3.6,0,0,0
normal04.mp4,5,3.0,4.2,0,0,0
normal04.mp4,6,3.6,4.8,0,0,0
normal04.mp4,7,4.2,5.4,0,0,0
normal04.mp4,8,4.8,6.0,0,0,0
normal04.mp4,9,5.4,6.6,0,0,0
normal04.mp4,10,6.0,7.2,0,0,0
normal04.mp4,11,6.6,7.8,0,0,0
normal04.mp4,12,7.2,8.4,0,0,0
normal04.mp4,13,7.8,9.0,0,0,0
normal04.mp4,14,8.4,9.6,0,0,0
normal04.mp4,15,9.0,10.2,0,0,0
normal04.mp4,16,9.6,10.8,0,0,0
normal04.mp4,17,10.2,11.4,0,0,0
normal04.mp4,18,10.8,12.0,0,0,0
normal04.mp4,19,11.4,12.6,0,0,0
normal04.mp4,20,12.0,13.2,0,0,0
normal04.mp4,21,12.6,13.8,0,0,0
normal04.mp4,22,13.2,14.4,0,0,0
normal04.mp4,23,13.8,15.0,0,0,0
normal04.mp4,24,14.4,15.6,0,0,0
normal04.mp4,25,15.0,16.2,0,0,0
normal04.mp4,26,15.6,16.8,0,0,0
normal04.mp4,27,16.2,17.4,0,0,0
normal04.mp4,28,16.8,18.0,0,0,0
normal04.mp4,29,17.4,18.6,0,0,0
normal04.mp4,30,18.0,19.2,0,0,0
normal04.mp4,31,18.6,19.8,0,0,0
normal04.mp4,32,19.2,20.4,45,1,0
normal04.mp4,33,19.8,21.0,45,1,0
normal04.mp4,34,20.4,21.6,0,0,0
normal04.mp4,35,21.0,22.2,0,0,0
normal04.mp4,36,21.6,22.8,0,0,0
normal04.mp4,37,22.2,23.4,0,0,0
normal04.mp4,38,22.8,24.0,0,0,0
normal04.mp4,39,23.4,24.6,0,0,0
normal04.mp4,40,24.0,25.2,0,0,0
normal04.mp4,41,24.6,25.8,0,0,0
normal04.mp4,42,25.2,26.4,0,0,0
normal04.mp4,43,25.8,27.0,0,0,0
normal04.mp4,44,26.4,27.6,0,0,0
normal04.mp4,45,27.0,28.2,100,3,0
normal04.mp4,46,27.6,28.8,100,5,0
normal04.mp4,47,28.2,29.4,45,3,0
normal04.mp4,48,28.8,30.0,100,10,0
normal05.mp4,0,0.0,1.001,0,0,0
normal05.mp4,1,0.501,1.502,0,0,0
normal05.mp4,2,1.001,2.002,0,0,0
normal05.mp4,3,1.502,2.502,0,0,0
normal05.mp4,4,2.002,3.003,0,0,0
normal05.mp4,5,2.502,3.504,45,1,0
normal05.mp4,6,3.003,4.004,45,1,0
normal05.mp4,7,3.504,4.505,0,0,0
normal05.mp4,8,4.004,5.005,0,0,0
normal05.mp4,9,4.505,5.506,45,1,0
normal05.mp4,10,5.005,6.006,45,1,0
normal05.mp4,11,5.506,6.506,0,0,0
normal05.mp4,12,6.006,7.007,0,0,0
normal05.mp4,13,6.506,7.508,0,0,0
normal05.mp4,14,7.007,8.008,0,0,0
normal05.mp4,15,7.508,8.508,0,0,0
normal05.mp4,16,8.008,9.009,0,0,0
normal05.mp4,17,8.508,9.51,0,0,0
normal05.mp4,18,9.009,10.01,0,0,0
normal05.mp4,19,9.51,10.511,0,0,0
normal05.mp4,20,10.01,11.011,0,0,0
normal05.mp4,21,10.511,11.511,50,3,0
normal05.mp4,22,11.011,12.012,50,4,0
normal05.mp4,23,11.511,12.513,55,3,0
normal05.mp4,24,12.012,13.013,55,2,0
normal05.mp4,25,12.513,13.514,0,0,0
normal05.mp4,26,13.013,14.014,0,0,0
normal05.mp4,27,13.514,14.514,0,0,0
normal05.mp4,28,14.014,15.015,0,0,0
normal05.mp4,29,14.514,15.515,0,0,0
normal05.mp4,30,15.015,16.016,0,0,0
normal05.mp4,31,15.515,16.517,0,0,0
normal05.mp4,32,16.016,17.017,0,0,0
normal05.mp4,33,16.517,17.518,0,0,0
normal05.mp4,34,17.017,18.018,0,0,0
normal05.mp4,35,17.518,18.518,0,0,0
normal05.mp4,36,18.018,19.019,0,0,0
normal05.mp4,37,18.518,19.52,0,0,0
normal05.mp4,38,19.019,20.02,0,0,0
normal05.mp4,39,19.52,20.521,0,0,0
normal05.mp4,40,20.02,21.021,0,0,0
normal05.mp4,41,20.521,21.521,0,0,0
normal05.mp4,42,21.021,22.022,0,0,0
normal05.mp4,43,21.521,22.523,0,0,0
normal05.mp4,44,22.022,23.023,0,0,0
normal05.mp4,45,22.523,23.524,45,1,0
normal05.mp4,46,23.023,24.024,45,1,0
normal05.mp4,47,23.524,24.524,0,0,0
normal05.mp4,48,24.024,25.025,0,0,0
normal05.mp4,49,24.524,25.526,0,0,0
normal05.mp4,50,25.025,26.026,0,0,0
normal05.mp4,51,25.526,26.527,45,2,0
normal05.mp4,52,26.026,27.027,45,2,0
normal05.mp4,53,26.527,27.527,0,0,0
normal05.mp4,54,27.027,28.028,50,1,0
normal05.mp4,55,27.527,28.529,50,1,0
normal05.mp4,56,28.028,29.029,0,0,0
normal05.mp4,57,28.529,29.53,0,0,0
normal05.mp4,58,29.029,30.03,0,0,0
normal05.mp4,59,29.53,30.53,0,0,0
normal05.mp4,60,30.03,31.031,0,0,0
normal05.mp4,61,30.53,31.532,0,0,0
normal05.mp4,62,31.031,32.032,0,0,0
normal05.mp4,63,31.532,32.532,45,3,0
normal05.mp4,64,32.032,33.033,55,6,0
